senseval2.d000.s003.t001 evoke%2:32:01::
semeval2007.d000.s028.t004 insinuate%2:32:00::
semeval2007.d000.s029.t001 subscribe%2:40:00::
semeval2007.d000.s029.t002 advertise%2:32:00::
semeval2007.d001.s006.t001 get%2:30:12::
semeval2007.d001.s006.t004 programme%1:09:01::
semeval2007.d001.s028.t000 absorb%2:31:03::
semeval2007.d001.s030.t005 scoop%2:35:01::
semeval2007.d002.s005.t000 win%2:33:01::
semeval2007.d002.s015.t003 zip%1:07:00::
semeval2007.d002.s045.t001 plunge%2:35:00::
semeval2007.d002.s050.t013 roll_up%2:35:00::
semeval2013.d000.s005.t001 option%1:09:00::
semeval2013.d000.s012.t003 language%1:10:03::
semeval2013.d000.s015.t002 foreign_minister%1:18:00::
semeval2013.d000.s016.t002 major_power%1:14:00::
semeval2013.d000.s017.t000 battle%1:04:02::
semeval2013.d000.s017.t008 two_dozen%1:23:00::
semeval2013.d000.s018.t001 major_power%1:14:00::
semeval2013.d000.s019.t000 game%1:09:00::
semeval2013.d000.s019.t005 adviser%1:18:00::
semeval2013.d000.s028.t000 heavyweight%1:18:00::
semeval2013.d001.s005.t001 perimeter%1:25:00::
semeval2013.d001.s005.t002 speculation%1:10:03::
semeval2013.d002.s001.t001 heading%1:15:00::
semeval2013.d002.s002.t000 closing%1:04:02::
semeval2013.d003.s002.t008 oil_industry%1:14:00::
semeval2013.d003.s007.t004 oil_industry%1:14:00::
semeval2013.d003.s011.t009 shareholder%1:18:00::
semeval2013.d004.s004.t004 limit%1:23:00::
semeval2013.d004.s004.t006 bonus%1:21:00::
semeval2013.d005.s001.t001 courtroom%1:06:00::
semeval2013.d005.s007.t004 courtroom%1:06:00::
semeval2013.d005.s008.t003 courtroom%1:06:00::
semeval2013.d005.s009.t006 news_media%1:10:00::
semeval2013.d005.s011.t002 coverage%1:10:00::
semeval2013.d005.s012.t001 united_states_supreme_court%1:14:00::
semeval2013.d005.s012.t011 news_media%1:10:00::
semeval2013.d005.s013.t002 television_show%1:10:00::
semeval2013.d005.s014.t008 courtroom%1:06:00::
semeval2013.d005.s015.t000 reason%1:10:00::
semeval2013.d005.s015.t006 death_penalty%1:04:00::
semeval2013.d005.s016.t005 courtroom%1:06:00::
semeval2013.d005.s018.t001 example%1:11:00::
semeval2013.d005.s020.t001 death_penalty%1:04:00::
semeval2013.d005.s022.t002 coverage%1:10:00::
semeval2013.d005.s023.t009 united_states_senate%1:14:00::
semeval2013.d005.s024.t000 news_media%1:10:00::
semeval2013.d005.s026.t001 coverage%1:10:00::
semeval2013.d005.s027.t008 coverage%1:10:00::
semeval2013.d005.s030.t005 coverage%1:10:00::
semeval2013.d006.s001.t001 wittiness%1:10:00::
semeval2013.d006.s019.t003 indetermination%1:07:00::
semeval2013.d006.s024.t001 wittiness%1:10:00::
semeval2013.d006.s024.t006 wittiness%1:10:00::
semeval2013.d007.s001.t001 bacterium%1:05:00::
semeval2013.d007.s002.t001 bacterium%1:05:00::
semeval2013.d007.s003.t001 capability%1:26:00::
semeval2013.d007.s007.t001 bacterium%1:05:00::
semeval2013.d007.s007.t002 calif.%1:15:00::
semeval2013.d007.s009.t000 find%1:09:00::
semeval2013.d007.s011.t003 find%1:09:00::
semeval2013.d007.s011.t004 speculation%1:09:00::
semeval2013.d007.s011.t005 internet%1:06:00::
semeval2013.d007.s022.t001 bacterium%1:05:00::
semeval2013.d007.s024.t005 example%1:11:00::
semeval2013.d008.s008.t001 stability%1:07:01::
semeval2013.d009.s000.t002 challenger%1:18:00::
semeval2013.d009.s002.t005 review%1:04:02::
semeval2013.d009.s003.t005 overhaul%1:04:01::
semeval2013.d009.s003.t009 rallying_cry%1:10:00::
semeval2013.d009.s006.t001 two_dozen%1:23:00::
semeval2013.d010.s004.t001 number_one%1:24:00::
semeval2013.d011.s010.t001 banality%1:10:00::
semeval2013.d011.s022.t002 organisation%1:14:01::
semeval2013.d011.s022.t003 example%1:11:00::
semeval2013.d012.s000.t002 usa%1:15:00::
semeval2013.d012.s001.t005 usa%1:15:00::
semeval2013.d012.s002.t005 usa%1:15:00::
semeval2013.d012.s018.t002 usa%1:15:00::
semeval2013.d012.s022.t000 legal_action%1:04:00::
semeval2015.d000.s000.t004 assessment%1:04:00::
semeval2015.d000.s002.t008 leaflet%1:10:00::
semeval2015.d000.s008.t011 exposure%1:04:01:: exposure%1:26:01::
semeval2015.d000.s009.t001 together_with%4:02:00::
semeval2015.d000.s009.t006 surgery%1:04:01::
semeval2015.d000.s016.t008 injection%1:04:01:: injection%1:27:00::
semeval2015.d000.s020.t002 see%2:39:13::
semeval2015.d000.s023.t010 building_block%1:17:00::
semeval2015.d001.s001.t000 nowadays%4:02:00::
semeval2015.d001.s004.t001 orient%2:30:00::
semeval2015.d001.s007.t002 consist%2:42:01::
semeval2015.d001.s012.t002 multiplication%1:04:00::
semeval2015.d001.s018.t003 check%2:32:10::
semeval2015.d001.s020.t001 define%2:32:01::
semeval2015.d001.s022.t001 define%2:32:01::
semeval2015.d001.s040.t000 save%2:32:04::
semeval2015.d001.s041.t000 save%2:32:04::
semeval2015.d001.s043.t000 save%2:32:04::
semeval2015.d001.s044.t000 save%2:32:04::
semeval2015.d001.s050.t002 ok%5:00:00:satisfactory:00
semeval2015.d002.s000.t003 organise%2:41:00::
semeval2015.d002.s001.t002 interest_group%1:14:00::
semeval2015.d002.s001.t015 organisation%1:14:00:: organisation%1:14:01::
semeval2015.d002.s005.t011 humanise%2:37:00::
semeval2015.d002.s006.t010 organisation%1:14:00:: organisation%1:14:01::
semeval2015.d002.s008.t010 directorate%1:14:00::
semeval2015.d002.s011.t008 organisation%1:14:01::
semeval2015.d002.s017.t000 thirdly%4:02:00::
semeval2015.d002.s017.t005 private%5:00:00:personal:00
semeval2015.d003.s001.t004 veterinary%1:18:00::
semeval2015.d003.s003.t004 tablet%1:06:00::
semeval2015.d003.s003.t006 injection%1:04:01::
semeval2015.d003.s004.t000 tablet%1:06:00::
semeval2015.d003.s005.t000 tablet%1:06:00::
semeval2015.d003.s005.t001 mark%2:35:01::
semeval2015.d003.s009.t012 injection%1:04:01::
semeval2015.d003.s009.t013 injection%1:04:01::
semeval2015.d003.s009.t015 tablet%1:06:00::
semeval2015.d003.s017.t004 injection%1:04:01::
semeval2015.d003.s017.t009 tablet%1:06:00::
semeval2015.d003.s017.t011 tablet%1:06:00::
semeval2015.d003.s018.t000 follow-up%1:04:01:: follow-up%1:04:00::
semeval2015.d003.s018.t004 tablet%1:06:00::
semeval2015.d003.s019.t004 together_with%4:02:00::
semeval2015.d003.s021.t005 dosage%1:06:00::
